"","V1","V2","V3"
"190","Kellen Moore, QB","Injury Reserve","Aug 30"
"192","Jaylon Smith, LB","Out","Aug 30"
"194","Sean Lee, LB","Questionable","Aug 30"
"196","Josh Thomas, CB","Injury Reserve","Aug 29"
"198","Charles Tapper, DE","Probable","Aug 29"
"200","Darren McFadden, RB","Out","Aug 29"
"202","J.J. Wilcox, S","Questionable","Aug 29"
"204","Rod Smith, RB","Probable","Aug 29"
"206","Ronald Leary, G","Probable","Aug 29"
"208","Orlando Scandrick, CB","Questionable","Aug 29"
"210","Andrew Gachkar, LB","Questionable","Aug 29"
"212","Tony Romo, QB","Out","Aug 28"
"214","Tyrone Crawford, DT","Questionable","Aug 28"
"216","Dez Bryant, WR","Questionable","Aug 28"
"220","Jeff Heuerman, TE","Questionable","Aug 30"
"222","Garrett Graham, TE","Injury Reserve","Aug 30"
"224","Emmanuel Sanders, WR","Questionable","Aug 30"
"226","Trevor Siemian, QB","Probable","Aug 29"
"228","Cody Latimer, WR","Probable","Aug 29"
"232","Brandon Pettigrew, TE","Out","Aug 30"
"234","Eric Ebron, TE","Questionable","Aug 29"
"236","Jonathan Bostic, LB","Injury Reserve","Aug 29"
"238","Jimmy Landes, LS","Injury Reserve","Aug 29"
"240","Ameer Abdullah, RB","Probable","Aug 27"
"244","Jeff Janis, WR","Questionable","Aug 31"
"246","John Crockett, RB","Injury Reserve","Aug 30"
"248","Jordy Nelson, WR","Questionable","Aug 29"
"250","Kenny Clark, DT","Probable","Aug 28"
"252","Jason Spriggs, OT","Questionable","Aug 27"
"254","Makinton Dorleant, CB","Questionable","Aug 27"
"256","Jayrone Elliott, LB","Questionable","Aug 27"
"258","Chris Banjo, S","Questionable","Aug 27"
"262","Duke Thomas, CB","Injury Reserve","Aug 31"
"264","Gerald Rivers, LB","Injury Reserve","Aug 31"
"266","Lonnie Ballentine, S","Out","Aug 30"
"268","Kurtis Drummond, S","Injury Reserve","Aug 30"
"270","Ka'imi Fairbairn, PK","Injury Reserve","Aug 30"
"272","Nick Martin, G","Injury Reserve","Aug 30"
"274","Derek Newton, OT","Questionable","Aug 29"
"278","Dezmen Southward, S","Injury Reserve","Aug 30"
"280","Anthony Castonzo, OT","Questionable","Aug 30"
"282","Dwayne Allen, TE","Probable","Aug 29"
"284","Joe Reitz, G","Probable","Aug 29"
"286","Jack Mewhort, OT","Questionable","Aug 29"
"288","Darius Butler, CB","Questionable","Aug 27"
"292","Earl Wolff, S","Questionable","Aug 30"
"294","Jeffrey Linkenbach, OT","Injury Reserve","Aug 30"
"296","Jonathan Woodard, DE","Out","Aug 30"
"298","Sheldon Day, DT","Probable","Aug 30"
"300","James Sample, S","Injury Reserve","Aug 30"
"302","Arrelious Benn, WR","Doubtful","Aug 28"
"306","Trey Millard, FB","Injury Reserve","Aug 31"
"308","Tamba Hali, LB","Questionable","Aug 30"
"310","Jamaal Charles, RB","Questionable","Aug 30"
"312","Josh Mauga, LB","Injury Reserve","Aug 30"
"314","Tyler Bray, QB","Questionable","Aug 30"
"316","Justin Houston, LB","Out","Aug 30"
"318","Mitch Morse, OL","Questionable","Aug 27"
"322","Marquez North, WR","Injury Reserve","Aug 30"
"324","Zach Laskey, FB","Injury Reserve","Aug 30"
"326","Troy Hill, CB","Questionable","Aug 29"
"328","Greg Robinson, OT","Questionable","Aug 29"
"330","E.J. Gaines, CB","Questionable","Aug 29"
"332","Pharoh Cooper, WR","Doubtful","Aug 29"
"336","Cameron Wake, DE","Questionable","Aug 31"
"338","Laremy Tunsil, G","Questionable","Aug 31"
"340","Earl Mitchell, DT","Questionable","Aug 31"
"342","Chimdi Chekwa, CB","Questionable","Aug 31"
"344","Zach Vigil, LB","Out","Aug 30"
"346","DeVante Parker, WR","Questionable","Aug 30"
"348","Kenyan Drake, RB","Questionable","Aug 30"
"350","Dion Jordan, DE","Out","Aug 30"
"352","Kenny Stills, WR","Questionable","Aug 30"
"354","Isaiah Pead, RB","Questionable","Aug 29"
"356","Mike Pouncey, C","Questionable","Aug 28"
"358","Jelani Jenkins, LB","Questionable","Aug 27"
"362","Teddy Bridgewater, QB","Injury Reserve","Aug 31"
"364","Antone Exum Jr., S","Injury Reserve","Aug 31"
"366","Scott Crichton, DT","Injury Reserve","Aug 31"
"368","MyCole Pruitt, TE","Doubtful","Aug 30"
"370","Mike Harris, G","Out","Aug 30"
"372","Matt Kalil, OT","Questionable","Aug 28"
"374","Xavier Rhodes, CB","Questionable","Aug 28"
"376","Michael Griffin, S","Questionable","Aug 28"
"380","Bryce Williams, TE","Questionable","Aug 31"
"382","Sebastian Vollmer, OT","Out","Aug 30"
"384","Dion Lewis, RB","Out","Aug 30"
"386","Tre' Jackson, G","Out","Aug 29"
"388","Jabaal Sheard, DL","Questionable","Aug 29"
"390","Jonathan Cooper, G","Questionable","Aug 29"
"392","Danny Amendola, WR","Out","Aug 29"
"394","Frank Kearse, DE","Injury Reserve","Aug 27"
"398","Jimmy Pruitt, DB","Injury Reserve","Aug 31"
"400","Damian Swann, CB","Injury Reserve","Aug 31"
"402","Avery Young, OT","Out","Aug 30"
"404","Hau'oli Kikaha, LB","Out","Aug 30"
"406","Daniel Lasco, RB","Questionable","Aug 30"
"408","Marcus Murphy, RB","Questionable","Aug 27"
"412","Ryan Malleck, TE","Injury Reserve","Aug 31"
"414","Victor Cruz, WR","Questionable","Aug 31"
"416","Nikita Whitlock, FB","Injury Reserve","Aug 30"
"418","Matt LaCosse, TE","Injury Reserve","Aug 30"
"420","Byron Stingily, OT","Injury Reserve","Aug 30"
"422","Jonathan Casillas, LB","Questionable","Aug 29"
"424","B.J. Goodson, LB","Questionable","Aug 27"
"426","Leon Hall, CB","Questionable","Aug 27"
"428","Will Johnson, FB","Probable","Aug 27"
"432","Romar Morris, RB","Injury Reserve","Aug 31"
"434","Jake Ceresna, DL","Injury Reserve","Aug 31"
"436","Dion Bailey, S","Injury Reserve","Aug 31"
"438","Kenbrell Thompkins, WR","Questionable","Aug 31"
"440","Khiry Robinson, RB","Questionable","Aug 31"
"442","Jordan Jenkins, LB","Questionable","Aug 31"
"444","Quincy Enunwa, WR","Questionable","Aug 31"
"446","Brandon Marshall, WR","Questionable","Aug 30"
"448","Josh Martin, LB","Questionable","Aug 29"
"450","Jace Amaro, TE","Questionable","Aug 29"
"452","Bruce Carter, LB","Questionable","Aug 29"
"454","David Harris, LB","Questionable","Aug 28"
"456","Kyle Williams, WR","Questionable","Aug 28"
"458","Devin Smith, WR","Out","Aug 28"
"460","Dominique Williams, RB","Questionable","Aug 27"
"464","Reggie Nelson, S","Questionable","Aug 29"
"468","Aaron Grymes, CB","Injury Reserve","Aug 31"
"470","Alex McCalister, DE","Injury Reserve","Aug 29"
"472","Wendell Smallwood, RB","Questionable","Aug 29"
"474","Jordan Matthews, WR","Questionable","Aug 29"
"476","Carson Wentz, QB","Questionable","Aug 29"
"478","Joe Walker, LB","Injury Reserve","Aug 28"
"480","Vinny Curry, DE","Questionable","Aug 27"
"482","Chris Pantale, TE","Questionable","Aug 27"
"484","Taylor Hart, DT","Questionable","Aug 27"
"488","Bruce Gradkowski, QB","Injury Reserve","Aug 31"
"490","Dustin Vaughan, QB","Injury Reserve","Aug 31"
"492","Ladarius Green, TE","Out","Aug 30"
"494","Le'Veon Bell, RB","Out","Aug 30"
"496","Jerald Hawkins, OT","Injury Reserve","Aug 28"
"500","Dreamius Smith, RB","Injury Reserve","Aug 31"
"502","Tyler Johnstone, OT","Injury Reserve","Aug 31"
"504","Javontee Herndon, WR","Injury Reserve","Aug 31"
"506","Zamir Carlis, DT","Injury Reserve","Aug 31"
"508","Donavon Clark, G","Injury Reserve","Aug 30"
"510","Branden Oliver, RB","Injury Reserve","Aug 30"
"512","Chris Watt, C","Out","Aug 29"
"514","Tyler Marcordes, LB","Injury Reserve","Aug 28"
"518","Arik Armstead, DL","Questionable","Aug 31"
"520","Shaun Draughn, RB","Questionable","Aug 31"
"522","Carlos Hyde, RB","Questionable","Aug 31"
"524","Bruce Ellington, WR","Injury Reserve","Aug 30"
"526","Bryce Treggs, WR","Questionable","Aug 30"
"528","Quinton Dial, DT","Questionable","Aug 30"
"530","Glenn Dorsey, DL","Questionable","Aug 29"
"532","DeAndre Smelter, WR","Probable","Aug 29"
"536","Kevin Smith, WR","Injury Reserve","Aug 31"
"538","Josh Shirley, DE","Injury Reserve","Aug 31"
"540","Trovon Reed, CB","Injury Reserve","Aug 31"
"542","George Farmer, RB","Injury Reserve","Aug 31"
"544","Jarran Reed, DT","Questionable","Aug 31"
"546","Tanner McEvoy, WR","Questionable","Aug 31"
"548","Nolan Frese, LS","Questionable","Aug 31"
"550","Thomas Rawls, RB","Questionable","Aug 31"
"552","Nick Vannett, TE","Questionable","Aug 31"
"554","Jimmy Graham, TE","Questionable","Aug 31"
"556","Deshon Foxx, WR","Injury Reserve","Aug 30"
"558","Sealver Siliga, DT","Injury Reserve","Aug 29"
"562","Donteea Dye, WR","Injury Reserve","Aug 31"
"564","Vincent Jackson, WR","Questionable","Aug 31"
"566","J.R. Sweezy, G","Out","Aug 30"
"568","Louis Murphy, WR","Out","Aug 30"
"570","Ali Marpet, OG","Probable","Aug 29"
"574","Andy Gallik, C","Injury Reserve","Aug 31"
"576","Kendall Wright, WR","Questionable","Aug 30"
"578","Perrish Cox, CB","Questionable","Aug 29"
"580","Delanie Walker, TE","Probable","Aug 28"
"584","Reggie Diggs, WR","Injury Reserve","Aug 31"
"586","Derek Carrier, TE","Out","Aug 30"
"588","Keith Marshall, RB","Injury Reserve","Aug 30"
"590","Ryan Kerrigan, LB","Questionable","Aug 30"
"592","Josh Doctson, WR","Out","Aug 29"
"594","Kory Lichtensteiger, C","Probable","Aug 29"
"596","Spencer Long, G","Questionable","Aug 29"
"598","Matt Jones, RB","Questionable","Aug 29"
"600","Jamison Crowder, WR","Probable","Aug 29"
