"Opponent","QB.1.Key","QB.1.ovr","WR.1.Key","WR.1.ovr","WR.2.Key","WR.2.ovr","WR.3.Key","WR.3.ovr","RB.1.Key","RB.1.ovr","RB.2.Key","RB.2.ovr","OL.1.Key","OL.1.ovr","OL.2.Key","OL.2.ovr","OL.3.Key","OL.3.ovr","OL.4.Key","OL.4.ovr","OL.5.Key","OL.5.ovr","TE.1.Key","TE.1.ovr","DL.1.Key","DL.1.ovr","DL.2.Key","DL.2.ovr","DL.3.Key","DL.3.ovr","DL.4.Key","DL.4.ovr","LB.1.Key","LB.1.ovr","LB.2.Key","LB.2.ovr","LB.3.Key","LB.3.ovr","CB.1.Key","CB.1.ovr","CB.2.Key","CB.2.ovr","CB.3.Key","CB.3.ovr","FS.1.Key","FS.1.ovr","SS.1.Key","SS.1.ovr","K.1.Key","K.1.ovr","defense","secondary","v.D","v.QB","v.RB","v.TE","v.K"
"DET","QBmatthewstafford",87,"WRgoldentate",89,"WRmarvinjonesjr",83,"WRanquanboldin",79,"RBmichaelburton",84,"RBtheoriddick",82,"OLrileyreiff",83,"OLlarrywarford",78,"OLtaylordecker",75,"OLtravisswanson",74,"OLcorneliuslucas",70,"TEbrandonpettigrew",74,"DLhalotingata",82,"DLwallacegilberry",74,"DLdevintaylor",72,"DLashawnrobinson",72,"LBtahirwhitehead",82,"LBkylevannoy",72,"LBjonbostic",68,"CBdariusslayjr",89,"CBquandrediggs",74,"CBnevinlawson",70,"FSgloverquin",83,"SStavonwilsonsr",75,"Kmattprater",82,76.6363636363636,78.2,80.7777777777778,80.25,74.5714285714286,74,76.6363636363636
"GB","QBaaronrodgers",95,"WRjordynelson",89,"WRrandallcobb",86,"WRdavanteadams",75,"RBeddielacy",84,"RBjamesstarks",79,"OLtjlang",92,"OLdavidbakhtiari",79,"OLbryanbulaga",79,"OLcoreylinsley",78,"OLjctretter",77,"TErichardrodgers",79,"DLmikedaniels",92,"DLletroyguion",73,"DLkennyclark",70,"DLchristianringo",66,"LBjuliuspeppers",86,"LBnickperry",82,"LBdatonejones",73,"CBsamshields",85,"CBquintenrollins",74,"CBdemetrigoodson",68,"FShahaclintondix",83,"SSmorganburnett",85,"Kmasoncrosby",81,79,79,84.5555555555556,81.75,77.4285714285714,80.3333333333333,79
"HOU","QBbrockosweiler",78,"WRdeandrehopkins",94,"WRwillfuller",76,"WRjaelenstrong",73,"RBlamarmiller",87,"RBjayprosch",82,"OLjeffallen",78,"OLchrisclark",74,"OLnickmartin",73,"OLxaviersuafilo",71,"OLgregmancz",68,"TEryangriffin",71,"DLjjwatt",99,"DLjadeveonclowney",88,"DLvincewilfork",84,"DLbrandondunn",68,"LBwhitneymercilus",88,"LBbriancushing",81,"LBbenardrickmckinney",77,"CBjohnathanjoseph",90,"CBkevinjohnson",76,"CBajbouye",75,"FSandrehal",77,"SSquintindemps",75,"Knicknovak",81,82.0909090909091,78.6,78,79.5,83.5714285714286,82,82.0909090909091
"IND","QBscotttolzien",67,"WRtyhilton",89,"WRphillipdorsett",72,"WRdevinstreet",66,"RBfrankgore",79,"RBrobertturbin",75,"OLjackmewhort",82,"OLanthonycastonzo",80,"OLjoereitz",77,"OLryankelly",77,"OLhughthornton",72,"TEdwayneallen",80,"DLkendalllangford",77,"DLhenryanderson",76,"DLarthurjones",71,"DLzachkerr",70,"LBrobertmathis",82,"LBtrentcole",81,"LBdqwelljackson",79,"CBvontaedavis",91,"CBantoniocromartie",79,"CBpatrickrobinson",78,"FSclaytongeathers",72,"SSmikeadams",79,"Kadamvinatieri",84,77.9090909090909,79.8,78.1111111111111,80.25,76.5714285714286,80.6666666666667,77.9090909090909
"JAX","QBblakebortles",81,"WRallenrobinson",89,"WRallenhurns",85,"WRmarqiselee",71,"RBchrisivory",82,"RBtjyeldon",80,"OLkelvinbeachum",80,"OLlukejoeckel",77,"OLjermeyparnell",77,"OLbrandonlinder",76,"OLpatrickomameh",74,"TEbenkoyack",64,"DLmalikjackson",86,"DLsenderrickmarks",78,"DLroymilleriii",78,"DLdantefowlerjr",77,"LBtelvinsmith",83,"LBpaulposluszny",78,"LBarthurbrown",75,"CBprinceamukamara",81,"CBjalenramsey",81,"CBaaroncolvin",78,"FSmarquestonhuff",72,"SSjohnathancyprien",77,"Kjasonmyers",77,78.7272727272727,77.8,79,77.75,79.2857142857143,78.6666666666667,78.7272727272727
"KC","QBalexsmith",80,"WRjeremymaclin",86,"WRchrisconley",74,"WRalbertwilson",72,"RBjamaalcharles",89,"RBanthonysherman",81,"OLmitchellschwartz",83,"OLericfisher",78,"OLlaurentduvernaytardif",74,"OLmitchmorse",73,"OLzachfulton",68,"TEtraviskelce",87,"DLdontaripoe",85,"DLjayehoward",81,"DLallenbailey",78,"DLchrisjones",72,"LBjustinhouston",96,"LBderrickjohnson",88,"LBtambahali",87,"CBmarcuspeters",83,"CBterrancemitchell",71,"CBstevennelson",71,"FSericberry",92,"SSronparker",80,"Kcairosantos",78,83,79.4,80.4444444444444,81.5,83.8571428571429,90.3333333333333,83
"LA","QBcasekeenum",76,"WRtavonaustin",80,"WRbrianquick",74,"WRnelsonspruce",63,"RBtoddgurley",85,"RBcoryharkey",80,"OLgregrobinson",77,"OLrodgersaffoldiii",76,"OLrobhavenstein",72,"OLtimbarnes",69,"OLjamonbrown",68,"TElancekendricks",74,"DLaarondonald",97,"DLdominiqueeasley",75,"DLcamthomas",73,"DLeugenesims",69,"LBalecogletree",81,"LBmarkbarron",75,"LBbrycehager",60,"CBtrumainejohnson",81,"CBlamarcusjoyner",76,"CBejgaines",73,"FSblakecountess",68,"SStjmcdonaldjr",83,"Kgregzuerlein",78,76.1818181818182,76.2,75.8888888888889,77,75.7142857142857,72,76.1818181818182
"MIA","QBryantannehill",79,"WRjarvislandry",87,"WRdevanteparker",78,"WRkennystills",74,"RBjayajayi",75,"RBdamienwilliams",72,"OLjermonbushrod",78,"OLlaremytunsil",77,"OLjawuanjames",75,"OLulrickjohn",71,"OLkraigurbik",69,"TEdionsims",74,"DLndamukongsuh",93,"DLcameronwake",89,"DLmariowilliams",81,"DLjasonjones",75,"LBkoamisi",84,"LBkikoalonso",80,"LBdonaldbutler",71,"CBbyronmaxwell",76,"CBchrisculliver",72,"CBbobbymccain",71,"FSisaabdulquddus",78,"SSreshadjones",93,"Kandrewfranks",76,81.0909090909091,78,77.1111111111111,79.75,81.8571428571429,78.3333333333333,81.0909090909091
"MIN","QBteddybridgewater",81,"WRlaquontreadwell",75,"WRjariuswright",72,"WRcordarrellepatterson",70,"RBadrianpeterson",90,"RBjerickmckinnon",76,"OLjoeberger",81,"OLalexboone",81,"OLmattkalil",78,"OLmikeharris",74,"OLbrandonfusco",73,"TEmycolepruitt",73,"DLeversongriffen",89,"DLlinvaljoseph",89,"DLsharriffloyd",83,"DLbrianrobison",79,"LBanthonybarr",88,"LBerickendricks",78,"LBchadgreenway",77,"CBxavierrhodes",80,"CBterencenewman",80,"CBtraewaynes",75,"FSharrisonsmith",94,"SSandrewsendejo",79,"Kblairwalsh",80,83.2727272727273,81.6,78.3333333333333,83.25,83.2857142857143,81,83.2727272727273
"NE","QBtombrady",94,"WRdannyamendola",83,"WRchrishogan",75,"WRmatthewslater",69,"RBjamesdevelin",83,"RBdionlewis",80,"OLsebastianvollmer",84,"OLnatesolder",84,"OLjonathancooper",76,"OLshaqmason",74,"OLdavidandrews",71,"TEmartellusbennett",86,"DLjabaalsheard",88,"DLchrislong",78,"DLalanbranch",77,"DLmalcombrown",72,"LBjamiecollins",92,"LBrobninkovich",82,"LBbarkeviousmingo",75,"CBmalcolmbutler",86,"CBloganryan",84,"CBcyrusjones",71,"FSdevinmccourty",91,"SSpatrickchung",86,"Kstephengostkowski",85,82.8181818181818,83.6,82.1111111111111,86.75,80.5714285714286,83,82.8181818181818
"NO","QBdrewbrees",91,"WRbrandincooks",84,"WRwilliesneadiv",79,"WRmichaelthomas",71,"RBmarkingram",83,"RBjohnkuhn",77,"OLzachstrief",82,"OLmaxunger",81,"OLtimlelito",77,"OLjahrievans",73,"OLandruspeat",70,"TEcobyfleener",81,"DLcameronjordan",90,"DLpaulkruger",81,"DLnickfairley",79,"DLsheldonrankins",77,"LBcraigrobertson",78,"LBnathanstupar",74,"LBstephoneanthony",74,"CBdelvinbreaux",83,"CBkylewilson",74,"CBsterlingmoore",71,"FSjairusbyrd",83,"SSkennyvaccaro",81,"Kwillutz",73,79.4545454545455,78.4,81.2222222222222,80.25,79,75.3333333333333,79.4545454545455
"NYG","QBelimanning",84,"WRodellbeckhamjr",93,"WRvictorcruz",81,"WRsterlingshepard",77,"RBshanevereen",81,"RBorleansdarkwa",73,"OLwestonrichburg",87,"OLjustinpugh",84,"OLjohnjerry",76,"OLereckflowers",76,"OLwillbeatty",75,"TEwilltye",71,"DLjasonpierrepaul",86,"DLdamonharrison",84,"DLjohnathanhankins",82,"DLjaybromley",67,"LBdevonkennard",78,"LBjonathancasillas",74,"LBkeenanrobinson",73,"CBjanorisjenkins",86,"CBleonhall",78,"CBtrevinwade",72,"FSdarianthompson",70,"SSlandoncollins",79,"Kjoshbrown",83,77.9090909090909,77,81.4444444444444,78.25,77.7142857142857,75,77.9090909090909
"NYJ","QBryanfitzpatrick",80,"WRbrandonmarshall",89,"WRquincyenunwa",71,"WRdevinsmith",70,"RBmattforte",86,"RBbilalpowell",78,"OLnickmangold",83,"OLjamescarpenter",79,"OLwesleyjohnson",70,"OLbenijalana",69,"OLbrenogiacomini",69,"TEbrandonbostick",68,"DLsheldonrichardson",87,"DLleonardwilliams",84,"DLstevemclendon",79,"DLjarvisjenkins",66,"LBdavidharris",81,"LBerinhenderson",75,"LBbrucecarter",73,"CBbusterskrine",76,"CBmarcuswilliams",75,"CBdeemilliner",71,"FSmarcusgilchrist",82,"SScalvinpryoriii",83,"Knickfolk",78,78.2727272727273,77.4,77.2222222222222,79,77.8571428571429,76.3333333333333,78.2727272727273
"OAK","QBderekcarr",84,"WRamaricooper",84,"WRmichaelcrabtree",83,"WRandreholmes",74,"RBmarcelreece",86,"RBjamizeolawale",81,"OLkelechiosemele",88,"OLdonaldpenn",87,"OLrodneyhudson",85,"OLgabejackson",81,"OLmatthewmccants",71,"TEmychalrivera",73,"DLkhalilmack",96,"DLdanwilliams",88,"DLmarioedwardsjr",78,"DLjihadward",71,"LBaldonsmith",85,"LBbruceirvin",81,"LBbenheeney",71,"CBseansmith",85,"CBdavidamerson",83,"CBtjcarrie",74,"FSreggienelson",86,"SSkarljoseph",75,"Ksebastianjanikowski",79,81.7272727272727,80.6,83.4444444444444,82.25,81.4285714285714,79,81.7272727272727
"PHI","QBcarsonwentz",78,"WRjordanmatthews",79,"WRdorialgreenbeckham",76,"WRnelsonagholor",72,"RBryanmathews",82,"RBdarrensproles",81,"OLlanejohnson",87,"OLjasonpeters",85,"OLjasonkelce",80,"OLstefenwisniewski",79,"OLbrandonbrooks",79,"TEzachertz",87,"DLfletchercox",94,"DLbrandongraham",91,"DLconnorbarwin",85,"DLvinnycurry",79,"LBmychalkendricks",84,"LBstephentulloch",82,"LBjordanhicks",77,"CBnolancarrollii",76,"CBleodismckelvin",73,"CBronbrooks",71,"FSrodneymcleodjr",83,"SSmalcolmjenkins",92,"Kcalebsturgis",76,83.2727272727273,79,81.4444444444444,81,84.5714285714286,81,83.2727272727273
"PIT","QBbenroethlisberger",93,"WRantoniobrown",98,"WRmartavisbryant",82,"WRmarkuswheaton",76,"RBleveonbell",94,"RBdeangelowilliams",81,"OLmaurkicepouncey",86,"OLdaviddecastro",84,"OLramonfoster",82,"OLalejandrovillanueva",70,"OLchrishubbard",67,"TEladariusgreen",81,"DLcameronheyward",88,"DLstephontuitt",79,"DLjavonhargrave",69,"DLricardomathews",67,"LBjamesharrison",85,"LBlawrencetimmons",78,"LBarthurmoats",78,"CBwilliamgay",82,"CBrosscockrell",75,"CBartieburns",73,"FSmikemitchell",84,"SSshamarkothomas",72,"Kchrisboswell",77,77.9090909090909,77.2,85.5555555555556,78.25,77.7142857142857,80.3333333333333,77.9090909090909
"SD","QBphiliprivers",84,"WRkeenanallen",89,"WRtravisbenjamin",79,"WRsteviejohnson",77,"RBdannywoodhead",83,"RBbrandenoliver",79,"OLmattslauson",83,"OLdjfluker",75,"OLorlandofranklin",73,"OLchrishairston",72,"OLchriswatt",69,"TEhunterhenry",78,"DLbrandonmebane",81,"DLcoreyliuget",80,"DLjoeybosa",76,"DLseanlissemore",72,"LBmelviningram",85,"LBjeremiahattaochu",83,"LBmantiteo",75,"CBjasonverrett",87,"CBcaseyhayward",83,"CBpierredesir",69,"FSdwightlowery",79,"SSjahleeladdae",76,"Kjoshlambo",76,79.7272727272727,78.8,79.5555555555556,81.25,78.8571428571429,81,79.7272727272727
"SEA","QBrussellwilson",89,"WRdougbaldwin",89,"WRjermainekearse",80,"WRtylerlockett",80,"RBthomasrawls",80,"RBchristinemichaelsr",72,"OLgermainifedi",75,"OLbradleysowell",72,"OLgarrygilliam",72,"OLjustinbritt",71,"OLjmarcuswebb",70,"TEjimmygraham",88,"DLmichaelbennett",91,"DLcliffavril",90,"DLtonymcdaniel",75,"DLahtybarubin",74,"LBkjwright",88,"LBbobbywagner",88,"LBmikemorgan",71,"CBrichardsherman",92,"CBjeremylane",78,"CBdeshawnshead",74,"FSearlthomasiii",92,"SSkamchancellor",91,"Kstevenhauschka",84,84.5454545454545,85.4,79.5555555555556,88.25,82.4285714285714,82.3333333333333,84.5454545454545
"SF","QBblainegabbert",75,"WRtorreysmith",78,"WRjeremykerley",73,"WRrodstreater",72,"RBcarloshyde",82,"RBmikedavis",73,"OLjoestaley",89,"OLtrentbrown",76,"OLanthonydavis",76,"OLzanebeadles",74,"OLdanielkilgore",73,"TEvancemcdonald",78,"DLianwilliams",82,"DLdeforestbuckner",78,"DLarikarmstead",77,"DLquintondial",72,"LBnavorrobowman",88,"LBaaronlynch",83,"LBahmadbrooks",74,"CBtramainebrock",82,"CBjimmieward",77,"CBdontaejohnson",75,"FSericreid",79,"SSantoinebethea",77,"Kphildawson",80,79,78,77.8888888888889,78.75,79.1428571428571,81.6666666666667,79
"TB","QBjameiswinston",82,"WRmikeevans",86,"WRvincentjackson",81,"WRcecilshortsiii",72,"RBjacquizzrodgers",73,"RBpeytonbarber",62,"OLdemardotson",79,"OLalimarpet",78,"OLjrsweezy",76,"OLdonovansmith",76,"OLevansmith",72,"TEaustinseferianjenkins",79,"DLrobertayersjr",85,"DLwilliamgholston",78,"DLakeemspence",74,"DLjacquiessmith",74,"LBlavontedavid",87,"LBdarylsmith",81,"LBkwonalexander",77,"CBbrentgrimes",85,"CBalterraunverner",78,"CBvernonhargreavesiii",77,"FSchrisconte",76,"SSbradleymcdougald",76,"Krobertoaguayo",78,79.1818181818182,78.4,78.8888888888889,78.75,79.4285714285714,81.6666666666667,79.1818181818182
"TEN","QBmarcusmariota",79,"WRrishardmatthews",79,"WRkendallwright",76,"WRtajaesharpe",75,"RBjalstonfowler",87,"RBdemarcomurray",84,"OLtaylorlewan",83,"OLjackconklin",79,"OLchancewarmack",75,"OLbenjones",74,"OLquintonspain",73,"TEdelaniewalker",93,"DLjurrellcasey",93,"DLalwoods",74,"DLkarlklug",73,"DLaustinjohnson",70,"LBbrianorakpo",86,"LBwesleywoodyard",85,"LBderrickmorgan",81,"CBjasonmccourty",80,"CBperrishcox",78,"CBbricemccain",78,"FSrashadjohnson",82,"SSdaimionstafford",69,"Kryansuccop",81,79.1818181818182,77.4,80.5555555555556,77.25,80.2857142857143,84,79.1818181818182
"WAS","QBkirkcousins",81,"WRdeseanjackson",85,"WRpierregarcon",81,"WRjamisoncrowder",75,"RBmattjones",77,"RBchristhompson",73,"OLmorganmoses",78,"OLbrandonscherff",78,"OLshawnlauvao",74,"OLkorylichtensteiger",72,"OLspencerlong",72,"TEjordanreed",89,"DLchrisbaker",82,"DLcullenjenkins",75,"DLziggyhood",71,"DLkedricgolston",71,"LBjuniorgalette",80,"LBprestonsmith",77,"LBwillcompton",75,"CBjoshnorman",94,"CBkendallfuller",70,"CBquintondunbar",70,"FSdeangelohall",82,"SSdukeihenacho",77,"Kdustinhopkins",77,77.6363636363636,78.6,79.4444444444444,80.75,75.8571428571429,77.3333333333333,77.6363636363636
