"","iteration","Team","teamId","primaryKey","lastName","firstName","Position","jerseyNum","ovr_rating","speed_rating","acceleration_rating","strength_rating","agility_rating","awareness_rating","catching_rating","carrying_rating","throwPower_rating","throwAccuracy_rating","kickPower_rating","kickAccuracy_rating","runBlock_rating","passBlock_rating","tackle_rating","jumping_rating","kickReturn_rating","injury_rating","stamina_rating","toughness_rating","trucking_rating","elusiveness_rating","bCVision_rating","stiffArm_rating","spinMove_rating","jukeMove_rating","impactBlocking_rating","runBlockStrength_rating","runBlockFootwork_rating","passBlockStrength_rating","passBlockFootwork_rating","powerMoves_rating","finesseMoves_rating","blockShedding_rating","pursuit_rating","playRecognition_rating","manCoverage_rating","zoneCoverage_rating","spectacularCatch_rating","catchInTraffic_rating","routeRunning_rating","hitPower_rating","press_rating","release_rating","throwAccuracyShort_rating","throwAccuracyMid_rating","throwAccuracyDeep_rating","playAction_rating","throwOnTheRun_rating","height","weight","age","portraitId","id","_version_","encryptedId","Name","NameRM","Key","Rank"
"569",1,"ARI",7,17684,"Nkemdiche","Robert","DL",90,75,77,86,81,86,67,58,48,23,21,17,17,50,20,79,84,9,88,83,85,45,40,52,42,30,44,47,46,45,44,45,76,79,74,77,67,40,44,30,27,24,84,13,15,6,6,6,6,6,76,296,21,8164,"84f0cd25-5f09-4135-b01d-e2714e20126e",1542388798785060864,"qpf5n5531fbl5iqhsnfvb1b5v4","Robert Nkemdiche","robertnkemdiche","DLrobertnkemdiche",4
"572",1,"ARI",7,9878,"Peters","Corey","DL",98,75,69,82,78,65,80,49,40,10,9,8,6,45,45,86,75,10,88,76,75,20,10,10,10,10,10,45,45,45,45,45,78,64,73,78,80,20,37,37,35,15,71,10,15,6,6,6,6,6,75,305,28,2388,"d301261f-c5a0-4b78-9cfd-279fb35821aa",1542388798803935232,"98jkca26gh3rls4nupb38i6mrc","Corey Peters","coreypeters","DLcoreypeters",3
"527",1,"ARI",7,28372,"Bryant","Red","DL",71,73,69,82,89,63,82,49,35,26,26,25,25,45,45,91,71,10,88,74,84,20,12,15,35,10,10,45,45,45,45,45,76,43,81,81,82,15,30,15,15,15,75,15,15,6,6,6,6,6,76,323,32,592,"bc647b5d-293a-4a65-8026-bb3c47a538d0",1542388798568005632,"7eemnl0n3oa5bs99ps3kq2tb0k","Red Bryant","redbryant","DLredbryant",5
"548",1,"ARI",7,2618,"Gunter","Rodney","DL",95,66,72,80,75,67,62,40,41,12,13,10,15,45,45,81,75,10,88,73,75,21,11,10,19,10,10,45,45,45,45,45,79,56,80,81,62,20,25,15,15,15,74,13,15,6,6,6,6,6,77,305,24,7154,"205526e8-76d2-4987-8700-3b33ac0ffe90",1542388798671814656,"vfcbf7qisjve2ctqjimo5tsms4","Rodney Gunter","rodneygunter","DLrodneygunter",6
"581",1,"ARI",7,2023,"Stinson","Ed","DL",91,62,72,79,88,53,63,33,40,16,23,15,25,45,45,76,75,10,79,74,88,15,10,10,10,10,10,45,45,45,45,45,74,51,79,79,63,25,34,15,15,15,73,20,15,6,6,6,6,6,75,287,26,6599,"5e2472e8-ae5f-4f8e-9d87-a941fb25649a",1542388798854266880,"3mbs52q8p59bpcboeppjhmiamk","Ed Stinson","edstinson","DLedstinson",7
"562",1,"ARI",7,2372,"Mauro","Josh","DL",97,61,64,80,85,54,64,49,55,35,33,33,32,45,45,77,80,10,95,86,85,50,25,32,50,32,25,45,45,45,45,45,76,46,82,78,64,15,30,15,20,15,80,30,15,6,6,6,6,6,78,282,25,7229,"842217b1-2a36-4a53-91c1-aa8d9de68318",1542388798742069248,"prkchg27tmjmmc4cmcdmedj75g","Josh Mauro","joshmauro","DLjoshmauro",8
"592",1,"ARI",7,2787,"Williams","Xavier","DL",94,60,62,77,83,64,54,35,40,29,25,26,21,45,45,73,55,15,87,81,88,34,11,10,27,10,10,45,45,45,45,45,75,52,77,70,54,12,23,12,10,10,75,10,12,6,6,6,6,6,74,309,24,7853,"7fc8a11b-6655-4672-9c09-060bc8c4b0fd",1542388798904598528,"lo37sh3cqfkgu46ov1oipqk13c","Xavier Williams","xavierwilliams","DLxavierwilliams",9
"574",1,"ARI",7,2751,"Pierre","Olsen","DL",72,59,66,79,75,65,57,44,45,19,21,25,21,45,45,79,77,10,90,73,75,45,10,30,35,30,25,45,45,45,45,45,75,43,78,62,57,20,25,15,15,15,81,10,25,6,6,6,6,6,76,293,23,7785,"4011bb20-c1e4-4479-9581-5175adfb2490",1542388798816518144,"hp0m8gel8vk5mlfnm42dh7m180","Olsen Pierre","olsenpierre","DLolsenpierre",10
"560",1,"ARI",7,11892,"Mathieu","Tyrann","FS",32,96,90,93,44,94,87,81,68,35,33,25,22,45,45,72,86,86,84,94,85,35,86,88,55,86,93,45,45,45,45,45,41,69,69,93,87,96,95,66,55,35,84,87,25,6,6,6,6,6,69,186,24,5964,"cdcafcb0-6bc0-4547-a7e2-20d7bfc848d4",1542388798731583488,"62a4k08ngn6nbdh8e8backp97o","Tyrann Mathieu","tyrannmathieu","FStyrannmathieu",1
"552",1,"ARI",7,9879,"Jefferson","Tony","FS",22,82,81,88,64,81,78,64,55,24,25,26,19,45,45,72,82,40,82,90,80,45,59,70,50,66,70,45,45,45,45,45,48,53,64,83,78,78,80,44,44,20,85,72,25,6,6,6,6,6,71,212,24,6728,"b5da201c-1743-4299-8702-d731c040fbfd",1542388798693834752,"1fcvn0jid39cce1ef80b556t68","Tony Jefferson","tonyjefferson","FStonyjefferson",2
"537",1,"ARI",7,20254,"Clemons","Chris","FS",29,76,87,93,65,81,72,54,55,25,30,15,14,45,45,65,87,42,94,91,77,20,45,54,39,55,68,45,45,45,45,45,37,35,57,69,72,70,75,35,44,22,82,62,20,15,10,10,15,15,73,214,30,744,"635f73ce-6389-47a3-a908-5df71658113e",1542388798615191552,"0imtavbmt2f1dturvosf9fk14o","Chris Clemons","chrisclemons","FSchrisclemons",3
"534",1,"ARI",7,2269,"Catanzaro","Chandler","K",7,80,73,70,54,63,63,40,45,29,25,95,88,15,15,28,65,10,93,82,59,10,15,25,15,20,25,20,25,30,20,30,15,20,25,32,25,15,20,12,10,10,13,10,12,35,30,25,20,20,75,200,25,7043,"b122980c-fc55-4456-b29a-18624e70fa99",1542388798601560064,"iptstqts1tg3j7k8ovak7v7kt8","Chandler Catanzaro","chandlercatanzaro","Kchandlercatanzaro",1
"556",1,"ARI",7,11295,"Jones","Chandler","LB",55,82,79,86,81,81,84,48,47,20,30,25,15,45,45,82,86,10,84,95,85,35,25,10,45,35,40,45,45,45,45,45,90,73,83,87,84,44,52,25,15,15,73,33,15,6,6,6,6,6,77,265,26,5281,"eeba0e2d-2fc0-442a-93bb-e79233305cf2",1542388798713757696,"jot54ljr0k023ioaokd29frp60","Chandler Jones","chandlerjones","LBchandlerjones",1
"528",1,"ARI",7,10841,"Bucannon","Deone","LB",20,80,89,91,75,83,81,75,68,29,23,19,22,45,45,82,86,35,94,88,88,63,40,74,55,65,61,45,45,45,45,45,67,57,76,81,81,73,84,72,70,20,92,70,25,6,6,6,6,6,73,220,24,6368,"0897dd4a-6225-4536-8b71-25c91025b373",1542388798573248512,"8ggjof1reglgu56fc10jp5o6no","Deone Bucannon","deonebucannon","LBdeonebucannon",2
"565",1,"ARI",7,1291,"Minter","Kevin","LB",51,74,77,84,74,79,83,52,60,25,25,20,20,45,45,80,81,10,85,92,83,45,25,48,49,55,39,45,45,45,45,45,64,77,72,85,83,53,64,40,35,15,78,65,15,6,6,6,6,6,73,245,25,5986,"1058526d-bfa0-44da-8294-50f740f7312a",1542388798759895040,"j7n68idk4krocnf85381pqu1k8","Kevin Minter","kevinminter","LBkevinminter",3
"529",1,"ARI",7,9907,"Butler","Donald","LB",56,73,81,84,73,81,77,59,54,25,25,20,20,45,45,87,77,10,79,95,86,44,26,45,35,15,30,45,45,45,45,45,73,56,68,82,77,56,66,15,15,15,85,45,12,6,6,6,6,6,73,242,27,635,"82d0eaa0-ed59-4669-9492-183d43fe53b8",1542388798577442816,"jcvtr4e26gaqktbak6dvf7qq14","Donald Butler","donaldbutler","LBdonaldbutler",4
"570",1,"ARI",7,1143,"Okafor","Alex","LB",57,71,74,83,76,71,72,48,55,14,12,16,11,45,45,68,72,10,95,88,90,40,30,25,35,25,15,45,45,45,45,45,81,66,78,78,72,56,66,25,25,20,83,44,20,6,6,6,6,6,76,260,25,6007,"4d705774-888f-4302-b0fc-25487b10f12e",1542388798791352320,"l1itupmchlejamo1ccd4r4njus","Alex Okafor","alexokafor","LBalexokafor",5
"588",1,"ARI",7,9906,"Washington","Daryl","LB",58,70,85,88,73,88,63,58,55,36,40,10,16,45,45,84,86,10,91,96,92,40,47,40,10,35,45,45,45,45,45,45,63,77,76,86,63,63,70,15,15,15,85,55,15,6,6,6,6,6,74,230,29,3103,"942bf0fb-4639-4bdd-98cc-3ba20ebd84c8",1542388798885724160,"lbmvl7a6mr1tnps9q3fftqnn40","Daryl Washington","darylwashington","LBdarylwashington",6
"546",1,"ARI",7,2543,"Golden","Markus","LB",44,69,80,85,69,72,61,55,55,35,32,30,30,45,45,74,78,10,90,84,80,51,31,59,52,45,48,45,45,45,45,45,83,66,80,81,61,54,69,15,10,10,84,49,12,6,6,6,6,6,74,260,25,7135,"f5a04a7a-f247-4ca4-bffb-6922bb4f3320",1542388798660280320,"2qi1n915n28u1t65krvtdg2u8s","Markus Golden","markusgolden","LBmarkusgolden",7
"558",1,"ARI",7,2907,"Martin","Gabe","LB",50,64,84,88,75,77,52,59,56,27,26,28,28,45,45,81,88,29,87,83,88,45,35,44,43,38,42,45,45,45,45,45,63,73,66,75,52,55,64,25,24,13,76,45,12,6,6,6,6,6,74,235,24,7750,"9c6d8953-e124-4eba-b301-2888a851ca09",1542388798722146304,"3lu0tdqohejqpi1updtpkb9i9g","Gabe Martin","gabemartin","LBgabemartin",8
"559",1,"ARI",7,12346,"Martin","Kareem","LB",96,63,81,89,79,73,58,35,45,16,23,15,20,45,45,81,86,10,91,78,74,35,10,25,24,41,21,45,45,45,45,45,79,65,76,75,58,20,35,15,15,15,72,20,15,6,6,6,6,6,78,272,24,6509,"9e4b62ba-1549-42e1-897d-5a6d44c35449",1542388798727389184,"uigc5eh9susu191rt095j9l3nk","Kareem Martin","kareemmartin","LBkareemmartin",9
"544",1,"ARI",7,2786,"Fua","Alani","LB",59,61,85,86,73,76,56,56,45,25,25,20,20,45,45,76,82,10,90,90,87,35,33,45,44,35,30,45,45,45,45,45,52,76,72,83,56,52,70,31,30,15,73,44,12,6,6,6,6,6,77,234,24,7467,"2dd57df3-fc51-4c2b-bb84-a8b490b60329",1542388798649794560,"qu9gb7q86frt8ec96iq3o089ek","Alani Fua","alanifua","LBalanifua",10
"577",1,"ARI",7,2625,"Riddick","Shaq","LB",47,59,84,90,72,83,51,48,65,35,32,30,30,45,45,69,86,10,88,77,74,45,35,52,42,49,45,50,50,50,50,50,65,85,63,74,51,45,55,39,35,25,84,32,15,6,6,6,6,6,78,260,23,7295,"0e0b8848-b3b5-47ca-b1e8-7b11bbda32f3",1542388798835392512,"98f64l7p8330monqd4n0fo4rk4","Shaq Riddick","shaqriddick","LBshaqriddick",11
"557",1,"ARI",7,17879,"Louis","Lamar","LB",52,50,86,89,82,81,48,55,36,14,10,12,10,45,45,69,80,10,85,89,78,59,68,60,10,60,60,45,45,45,45,45,61,68,61,60,48,55,64,38,45,15,71,55,25,6,6,6,6,6,71,232,22,8117,"b47c07ff-85ce-49f7-80fc-3ff2880dcdaa",1542388798717952000,"nrh3nebqfm3t5d2v09j6pv29r4","Lamar Louis","lamarlouis","LBlamarlouis",12
"561",1,"ARI",7,26862,"Mathis","Evan","OL",69,88,68,80,88,64,88,25,40,11,15,18,18,96,81,28,45,10,91,91,83,10,25,10,10,10,10,86,87,94,81,91,10,10,28,35,26,12,19,15,15,15,25,10,15,6,6,6,6,6,77,298,34,2000,"77c1a3bb-1ce1-4da9-b684-b201ebd5f1d9",1542388798736826368,"fr8pn9h4kcvi4afm7b47rfkg90","Evan Mathis","evanmathis","OLevanmathis",1
"550",1,"ARI",7,9812,"Iupati","Mike","OL",76,86,60,74,97,65,84,32,40,14,16,35,22,93,77,31,60,10,90,80,97,25,18,22,35,20,10,93,98,91,86,73,35,10,40,42,17,12,12,15,15,20,33,10,15,6,6,6,6,6,77,331,29,1593,"d9ff203c-356e-4300-a526-bb350ad6c530",1542388798683348992,"qs3hfdqomj0fulb2bb6r2o3m1g","Mike Iupati","mikeiupati","OLmikeiupati",2
"587",1,"ARI",7,9805,"Veldheer","Jared","OL",68,85,66,80,97,66,88,28,40,12,16,6,8,86,84,29,67,10,95,85,85,10,15,10,10,10,10,85,88,87,94,93,10,10,29,19,13,14,18,15,15,15,20,10,15,6,6,6,6,6,80,321,29,3043,"667125e1-4254-4dce-acdb-5e837b8c35b0",1542388798881529856,"q45vmo9skpjkrpc2bhq4m61moc","Jared Veldheer","jaredveldheer","OLjaredveldheer",3
"589",1,"ARI",7,11918,"Watford","Earl","OL",78,74,68,79,85,71,70,34,44,23,21,14,10,83,74,44,79,10,95,83,87,25,10,10,10,10,10,88,85,76,80,73,10,10,29,32,13,12,15,15,15,15,20,10,15,6,6,6,6,6,76,295,26,6145,"fa53c4ad-d893-4832-8bef-f7f5b37e8829",1542388798889918464,"ahb9eeb99lot3vem8euasq5onc","Earl Watford","earlwatford","OLearlwatford",4
"549",1,"ARI",7,2500,"Humphries","D.J.","OL",74,73,68,76,88,74,54,35,40,10,10,13,6,78,83,45,80,10,82,92,87,21,10,15,10,10,10,84,77,83,87,89,10,10,35,32,25,18,12,12,10,10,25,10,12,6,6,6,6,6,77,315,22,7177,"b286ef1e-d199-4e43-9919-f81532ecfb82",1542388798677057536,"rh1i1d56nu8jvfk1roq51q1eso","D.J. Humphries","djhumphries","OLdjhumphries",5
"579",1,"ARI",7,20255,"Shipley","A.Q.","OL",53,71,61,79,86,54,66,25,40,17,30,19,16,82,78,26,29,10,87,80,97,10,15,10,10,10,10,73,81,60,86,67,10,10,26,33,22,22,21,16,14,17,20,10,15,6,6,6,6,6,73,307,30,4868,"ca520d90-2674-4c19-9f85-711f5c34158e",1542388798844829696,"d8m4g058bc1bqi5b8lv0uie5g0","A.Q. Shipley","aqshipley","OLaqshipley",6
"521",1,"ARI",7,17698,"Boehm","Evan","OL",70,67,61,74,82,59,60,27,31,18,20,20,20,78,79,35,71,9,89,85,97,28,18,19,26,14,16,79,80,78,77,76,12,13,26,31,19,12,14,14,14,13,22,8,15,6,6,6,6,6,75,310,23,7898,"e5d29692-0060-4928-8c33-9642b5ea989e",1542388798538645504,"22fh8j0gajvm26us04025vj8kk","Evan Boehm","evanboehm","OLevanboehm",8
"522",1,"ARI",7,12012,"Boggs","Taylor","OL",65,67,57,73,86,53,70,15,35,10,10,11,11,78,71,30,72,10,85,81,86,10,21,10,10,10,10,79,81,75,74,68,10,10,25,33,15,11,12,15,15,15,37,10,15,6,6,6,6,6,75,302,29,5056,"7f12d548-bba5-408c-8c2b-952dbdac07f3",1542388798543888384,"cp9d75tp7hdtd38m3h6jel3s8g","Taylor Boggs","taylorboggs","OLtaylorboggs",7
"563",1,"ARI",7,11507,"McClain","Antoine","OL",60,64,51,67,81,54,62,45,45,30,30,25,25,77,72,35,74,10,85,82,81,20,10,10,30,10,10,76,81,74,70,65,10,10,20,29,15,12,15,15,15,15,20,10,15,6,6,6,6,6,77,336,26,5345,"bb0cefeb-c5ec-4205-ba79-fae81f75655f",1542388798748360704,"b16vge2dmjna3cea67lhbivvh4","Antoine McClain","antoinemcclain","OLantoinemcclain",10
"585",1,"ARI",7,17803,"Toner","Cole","OL",61,64,52,72,78,51,76,42,64,30,22,22,21,72,69,41,60,10,87,76,75,20,15,10,19,10,10,76,84,76,74,67,25,15,39,29,20,13,15,15,25,15,20,10,40,6,6,6,6,6,77,300,22,8236,"18671dbd-bdaf-4b60-b885-5227ad850250",1542388798872092672,"tf82e6hf4htbbg3cmdh3c22dr8","Cole Toner","coletoner","OLcoletoner",9
"539",1,"ARI",7,17878,"DeBord","Clay","OL",62,60,71,81,80,53,52,50,45,32,25,25,22,72,72,40,74,10,91,88,81,35,22,25,35,26,32,65,78,70,80,70,50,40,40,35,30,10,12,20,15,10,42,10,12,6,6,6,6,6,78,305,24,7973,"3c219a49-caec-4fc4-9998-3910eb12017a",1542388798624628736,"9lmga5g03qunkuoihij4bu11d8","Clay DeBord","claydebord","OLclaydebord",12
"576",1,"ARI",7,17882,"Price","Givens","OL",63,60,70,74,79,58,52,22,38,30,22,22,21,70,71,50,77,10,85,84,78,23,15,10,19,10,10,71,70,67,72,67,25,15,35,29,52,13,15,15,25,15,50,10,40,6,6,6,6,6,76,310,21,8182,"604b0ebb-cfcb-44d1-aab8-7da54c489580",1542388798829101056,"hi8fnpf3hkasmt5pehbjjvqm4k","Givens Price","givensprice","OLgivensprice",11
"530",1,"ARI",7,11816,"Butler","Drew","P",2,76,68,70,49,64,60,45,48,50,49,84,91,20,20,25,45,10,95,87,54,15,18,15,10,10,10,23,23,23,24,24,10,10,26,18,31,21,29,12,10,10,12,10,12,44,36,28,10,18,73,217,27,5087,"5bfe690e-e1a6-4996-b862-e91358d07e2b",1542388798582685696,"6er4dol99kp5akh01isfodm6p0","Drew Butler","drewbutler","Pdrewbutler",1
"582",1,"ARI",7,18004,"Swanson","Garrett","P",1,69,73,81,79,70,45,37,45,48,45,90,79,19,17,35,73,10,90,90,65,16,21,10,10,10,10,19,19,19,17,17,10,10,30,30,45,12,12,26,25,25,12,10,12,30,15,10,20,20,72,230,22,0,"cd64768c-a09d-4af7-9400-189ce1511c0a",1542388798858461184,"658d1r0kkm4g9e7e8t4megsi3s","Garrett Swanson","garrettswanson","Pgarrettswanson",2
"571",1,"ARI",7,16522,"Palmer","Carson","QB",3,89,67,62,64,59,94,12,59,91,92,14,17,10,11,13,52,10,88,95,95,20,20,43,30,39,53,10,10,10,11,11,10,10,13,30,24,13,26,12,10,10,12,10,12,94,93,88,85,82,77,235,36,2337,"209a8ecc-c58f-49a5-9fa3-663818fcaa09",1542388798797643776,"7055ob3v2fr4h5oe0tsvjkbdig","Carson Palmer","carsonpalmer","QBcarsonpalmer",1
"580",1,"ARI",7,27939,"Stanton","Drew","QB",5,68,75,79,63,73,69,35,68,89,74,27,21,19,26,28,67,10,86,92,80,20,30,70,38,64,69,19,19,19,20,20,10,10,20,35,24,12,12,12,10,10,12,10,12,76,75,74,66,77,75,243,32,2845,"00dfaeb0-31e2-4ca9-8f0b-5387c9aa60db",1542388798849024000,"01bci7vu8do2g2tkpfl6d2mljg","Drew Stanton","drewstanton","QBdrewstanton",2
"519",1,"ARI",7,116,"Barkley","Matt","QB",9,64,73,77,63,64,51,35,73,84,79,25,25,20,19,25,72,10,87,95,87,32,37,63,44,60,61,30,35,30,30,20,10,10,28,35,15,15,20,12,10,10,12,10,12,84,76,71,77,79,74,227,25,5677,"3f8edeb6-a47f-49dc-a8dd-8296b9f7868f",1542388798530256896,"av0so2dd517bbd1j99u80tkqm8","Matt Barkley","mattbarkley","QBmattbarkley",3
"538",1,"ARI",7,17569,"Coker","Jake","QB",6,62,68,74,61,69,60,39,60,91,77,21,20,21,17,24,65,11,87,90,81,33,43,55,35,50,59,19,20,19,19,18,9,9,21,28,21,12,18,20,20,18,11,9,19,77,67,66,69,70,77,236,24,7949,"b654a1ab-4624-4dbd-93ac-9eb3a567c4c0",1542388798619385856,"hteigi70ng51kcpa0jfpd22fqk","Jake Coker","jakecoker","QBjakecoker",4
"555",1,"ARI",7,2406,"Johnson","David","RB",31,84,92,90,82,84,74,66,86,25,25,20,17,40,50,25,91,85,90,87,90,86,80,91,88,75,90,45,42,44,49,47,5,5,12,35,15,10,15,66,72,75,15,15,65,25,20,15,10,10,73,224,24,7190,"1f674ec1-0edd-4e71-9482-93eae62bc1a2",1542388798709563392,"d90ss89v78ennur5a4n8u3shqs","David Johnson","davidjohnson","RBdavidjohnson",1
"540",1,"ARI",7,328,"Ellington","Andre","RB",38,78,89,89,54,93,81,66,84,25,24,15,15,35,39,29,84,76,76,93,84,59,74,88,62,87,93,27,32,33,35,39,10,10,26,35,20,15,15,65,73,74,20,20,50,33,29,20,15,15,69,199,27,5787,"3f7789c7-08e6-4731-98b4-ae590a3978de",1542388798629871616,"6nkusvts65oiuoakocj5nfhvjs","Andre Ellington","andreellington","RBandreellington",2
"554",1,"ARI",7,28344,"Johnson","Chris","RB",23,75,92,95,61,87,84,61,85,30,30,25,25,30,49,22,86,60,92,89,71,39,82,83,55,82,87,35,35,35,55,62,10,10,11,40,20,15,20,60,71,70,20,20,66,35,30,20,15,15,71,203,30,1664,"a3ee2dc4-0ce4-4e27-849f-abce03d7da94",1542388798704320512,"bpt4h2g2laajjeq9q1h7q8818g","Chris Johnson","chrisjohnson","RBchrisjohnson",3
"584",1,"ARI",7,465,"Taylor","Stepfan","RB",30,73,84,88,67,81,65,65,88,35,33,25,25,55,74,35,77,50,97,89,93,86,65,81,89,76,69,54,52,54,71,63,10,10,11,35,20,15,20,72,75,67,25,20,67,30,25,20,15,15,69,214,25,6115,"b7705f75-74d4-43a3-844a-df37f3f605a7",1542388798867898368,"u0jvna199qng8go3e7n56qnh48","Stepfan Taylor","stepfantaylor","RBstepfantaylor",4
"591",1,"ARI",7,463,"Williams","Kerwynn","RB",33,71,88,91,60,89,58,64,79,41,42,24,20,38,36,34,90,78,91,94,69,54,87,85,57,78,86,35,39,37,36,36,10,10,35,22,28,15,31,74,67,62,21,30,55,35,30,20,15,15,68,198,25,6163,"6c64f4cc-4788-42fb-a178-2e429cabb5a3",1542388798899355648,"phfnsjllo7cq7n38r76n24dao8","Kerwynn Williams","kerwynnwilliams","RBkerwynnwilliams",5
"523",1,"ARI",7,28462,"Branch","Tyvon","SS",27,81,90,93,66,84,75,48,66,36,36,25,25,45,45,70,90,65,84,94,84,40,55,75,44,72,82,45,45,45,45,45,45,49,62,76,75,77,79,23,25,40,74,54,40,6,6,6,6,6,72,210,29,497,"d8afc78c-9964-4439-8537-f3fd6c344aee",1542388798549131264,"dd89ujg31o97hjkv26476loqdg","Tyvon Branch","tyvonbranch","SStyvonbranch",1
